iter	Passed	Remaining
0	65	65922
1	66	33113
2	66	22159
3	67	16705
4	67	13411
5	68	11268
6	68	9719
7	68	8541
8	69	7616
9	69	6879
10	69	6272
11	70	5767
12	70	5339
13	70	4979
14	71	4663
15	71	4385
16	71	4141
17	71	3923
18	72	3730
19	72	3554
20	72	3395
21	73	3249
22	73	3117
23	73	2994
24	73	2884
25	74	2781
26	74	2687
27	74	2598
28	75	2514
29	75	2438
30	75	2369
31	76	2302
32	76	2239
33	76	2179
34	76	2122
35	77	2070
36	77	2020
37	77	1974
38	78	1928
39	78	1884
40	78	1844
41	79	1807
42	79	1769
43	79	1733
44	80	1699
45	80	1665
46	80	1633
47	80	1602
48	81	1574
49	81	1547
50	81	1520
51	81	1494
52	82	1469
53	82	1445
54	82	1421
55	83	1399
56	83	1378
57	83	1357
58	83	1337
59	84	1319
60	84	1300
61	84	1283
62	85	1266
63	85	1250
64	85	1234
65	86	1219
66	86	1204
67	86	1189
68	87	1174
69	87	1160
70	87	1146
71	87	1132
72	88	1120
73	88	1109
74	88	1097
75	89	1085
76	89	1074
77	90	1064
78	90	1054
79	90	1044
80	91	1033
81	91	1023
82	91	1011
83	91	1002
84	92	992
85	92	983
86	92	973
87	93	964
88	93	956
89	93	947
90	94	938
91	94	930
92	94	922
93	94	914
94	95	906
95	95	898
96	95	890
97	95	882
98	96	875
99	96	867
100	96	860
101	96	853
102	97	846
103	97	839
104	97	833
105	98	826
106	98	820
107	98	814
108	98	808
109	99	803
110	99	797
111	99	791
112	100	785
113	100	779
114	100	774
115	100	768
116	101	763
117	101	757
118	101	752
119	102	748
120	102	743
121	102	737
122	102	733
123	103	728
124	103	724
125	103	719
126	103	714
127	104	709
128	104	705
129	104	701
130	104	696
131	105	692
132	105	688
133	105	684
134	106	679
135	106	676
136	106	672
137	106	668
138	107	665
139	107	661
140	108	658
141	108	653
142	108	650
143	108	646
144	109	643
145	109	639
146	109	635
147	109	632
148	110	628
149	110	624
150	110	621
151	110	618
152	111	614
153	111	611
154	111	607
155	111	604
156	111	601
157	112	598
158	112	595
159	112	592
160	112	588
161	113	585
162	113	582
163	113	580
164	114	577
165	114	575
166	114	572
167	115	569
168	115	566
169	115	564
170	115	562
171	116	559
172	116	557
173	116	554
174	117	551
175	117	549
176	117	546
177	117	544
178	118	542
179	118	539
180	118	537
181	119	534
182	119	532
183	119	530
184	119	528
185	120	526
186	120	524
187	120	522
188	121	519
189	121	517
190	121	515
191	122	513
192	122	511
193	122	509
194	122	507
195	123	505
196	123	503
197	123	501
198	124	500
199	124	497
200	124	495
201	125	493
202	125	492
203	125	489
204	125	487
205	126	485
206	126	483
207	126	482
208	126	480
209	127	478
210	127	476
211	127	474
212	128	473
213	128	471
214	128	470
215	129	468
216	129	466
217	129	465
218	130	463
219	130	461
220	130	460
221	130	458
222	131	456
223	131	455
224	131	454
225	132	452
226	132	450
227	132	449
228	132	447
229	133	446
230	133	444
231	133	443
232	134	441
233	134	440
234	134	438
235	135	437
236	135	435
237	135	434
238	135	432
239	136	431
240	136	429
241	136	428
242	137	427
243	137	425
244	137	424
245	138	423
246	138	421
247	138	420
248	138	418
249	139	417
250	139	416
251	139	415
252	140	413
253	140	412
254	140	410
255	140	409
256	141	408
257	141	406
258	141	405
259	142	404
260	142	402
261	142	401
262	142	400
263	143	399
264	143	397
265	143	396
266	144	395
267	144	394
268	144	393
269	145	392
270	145	391
271	145	390
272	146	388
273	146	387
274	146	386
275	146	385
276	147	384
277	147	382
278	147	381
279	148	380
280	148	379
281	148	378
282	148	377
283	149	376
284	149	374
285	149	373
286	150	372
287	150	371
288	150	370
289	150	369
290	151	368
291	151	367
292	151	366
293	152	365
294	152	364
295	152	363
296	153	362
297	153	361
298	153	360
299	154	359
300	154	358
301	154	357
302	155	356
303	155	356
304	155	355
305	156	354
306	156	353
307	156	352
308	157	351
309	157	351
310	158	351
311	159	350
312	159	350
313	160	349
314	160	348
315	160	347
316	161	347
317	161	346
318	161	345
319	162	345
320	163	345
321	163	344
322	163	343
323	164	342
324	164	341
325	165	341
326	165	340
327	165	339
328	166	339
329	166	338
330	167	337
331	167	337
332	168	336
333	168	336
334	168	335
335	169	334
336	169	333
337	170	333
338	171	334
339	171	333
340	172	333
341	172	332
342	173	331
343	173	331
344	173	330
345	174	329
346	174	328
347	175	328
348	175	327
349	175	326
350	176	325
351	176	325
352	177	324
353	177	323
354	177	322
355	177	321
356	178	321
357	178	320
358	179	319
359	179	318
360	179	318
361	180	317
362	180	317
363	181	316
364	181	316
365	182	315
366	182	315
367	183	314
368	183	313
369	183	313
370	184	312
